"arc_length","pressure (4)"
0,75332.2
0.00257983,76929.5
0.00397381,77992.2
0.00520537,78901.6
0.00785634,81303.9
0.0105089,84191.1
0.0131182,87515.9
0.015631,91060.1
0.0179891,94420.7
0.0201438,97182.3
0.0220518,99394.1
0.0220951,99447.7
0.0239024,102095
0.0256208,103609
0.0272989,97993.3
0.0289661,82211.8
0.0306448,68269.4
0.0322379,65261
0.0323549,65272.3
0.0341131,66959.2
0.0359382,68274.3
0.0378474,69343.3
0.0398519,70317.1
0.0419628,71212.1
0.0433877,71758.6
0.0441793,72059.3
0.0464932,72973.8
0.0489061,74043.2
0.0514075,75332.2
0.0539874,76929.5
0.0553813,77992.2
0.0566129,78901.6
0.0592639,81303.9
0.0619164,84191.1
0.0645257,87515.9
0.0670385,91060.1
0.0693966,94420.7
0.0715513,97182.3
0.0734594,99394.1
0.0735027,99447.7
0.07531,102095
0.0770283,103609
0.0787064,97993.3
0.0803736,82211.8
0.0820524,68269.4
0.0836455,65261
0.0837625,65272.3
0.0855207,66959.2
0.0873457,68274.3
0.0892549,69343.3
0.0912594,70317.1
0.0933703,71212.1
0.0947953,71758.6
0.0955868,72059.3
0.0979007,72973.8
0.100314,74043.2
0.102815,75332.2
0.105395,76929.5
0.106789,77992.2
0.10802,78901.6
0.110671,81303.9
0.113324,84191.1
0.115933,87515.9
0.118446,91060.1
0.120804,94420.7
0.122959,97182.3
0.124867,99394.1
0.12491,99447.7
0.126718,102095
0.128436,103609
0.130114,97993.4
0.131781,82211.8
0.13346,68269.4
0.135053,65261
0.13517,65272.3
0.136928,66959.2
0.138753,68274.3
0.140662,69343.3
0.142667,70317.1
0.144778,71212.1
0.146203,71758.6
0.146994,72059.3
0.149308,72973.8
0.151721,74043.2
0.154223,75332.2
0.156802,76929.5
0.158196,77992.2
0.159428,78901.6
0.162079,81303.9
0.164731,84191.1
0.167341,87515.9
0.169854,91060.1
0.172212,94420.7
0.174366,97182.3
0.176274,99394.1
0.176318,99447.7
0.178125,102095
0.179843,103609
0.181521,97993.4
0.183189,82211.8
0.184867,68269.4
0.186461,65261
0.186578,65272.3
0.188336,66959.2
0.190161,68274.3
0.19207,69343.3
0.194074,70317.1
0.196185,71212.1
0.19761,71758.6
0.198402,72059.3
0.200716,72973.8
0.203129,74043.2
0.20563,75332.2
0.20821,76929.5
0.209604,77992.2
0.210836,78901.6
0.213486,81303.9
0.216139,84191.1
0.218748,87515.9
0.221261,91060.1
0.223619,94420.7
0.225774,97182.3
0.227682,99394.1
0.227725,99447.7
0.229533,102095
0.231251,103609
0.232929,97993.4
0.234596,82211.8
0.236275,68269.4
0.237868,65261
0.237985,65272.3
0.239743,66959.2
0.241568,68274.3
0.243478,69343.3
0.245482,70317.1
0.247593,71212.1
0.249018,71758.6
0.249809,72059.3
0.252123,72973.8
0.254536,74043.2
0.257038,75332.2
0.259617,76929.5
0.261011,77992.2
0.262243,78901.6
0.264894,81303.9
0.267547,84191.1
0.270156,87515.9
0.272669,91060.1
0.275027,94420.7
0.277181,97182.3
0.279089,99394.1
0.279133,99447.7
0.28094,102095
0.282658,103609
0.284337,97993.3
0.286004,82211.8
0.287683,68269.4
0.289276,65261
0.289393,65272.3
0.291151,66959.2
0.292976,68274.3
0.294885,69343.3
0.29689,70317.1
0.299,71212.1
0.300425,71758.6
0.301217,72059.3
0.303531,72973.8
0.305944,74043.2
0.308445,75332.2
0.311025,76929.5
0.312419,77992.2
0.313651,78901.6
0.316302,81303.9
0.318954,84191.1
0.321563,87515.9
0.324076,91060.1
0.326434,94420.7
0.328589,97182.3
0.330497,99394.1
0.33054,99447.7
0.332348,102095
0.334066,103609
0.335744,97993.3
0.337411,82211.8
0.33909,68269.4
0.340683,65261
0.3408,65272.3
0.342558,66959.2
0.344383,68274.3
0.346293,69343.3
0.348297,70317.1
0.350408,71212.1
0.351833,71758.6
0.352625,72059.3
0.354938,72973.8
0.357351,74043.2
0.359853,75332.2
0.362433,76929.5
0.363827,77992.2
0.365058,78901.6
0.367709,81303.9
0.370362,84191.1
0.372971,87515.9
0.375484,91060.1
0.377842,94420.7
0.379996,97182.3
0.381905,99394.1
0.381948,99447.7
0.383755,102095
0.385474,103609
0.387152,97993.4
0.388819,82211.8
0.390498,68269.4
0.392091,65261
0.392208,65272.3
0.393966,66959.2
0.395791,68274.3
0.3977,69343.3
0.399705,70317.1
0.401816,71212.1
0.40324,71758.6
0.404032,72059.3
0.406346,72973.8
0.408759,74043.2
0.41126,75332.2
0.41384,76929.5
0.415234,77992.2
0.416466,78901.6
0.419117,81303.9
0.421769,84191.1
0.424378,87515.9
0.426891,91060.1
0.429249,94420.7
0.431404,97182.3
0.433312,99394.1
0.433355,99447.7
0.435163,102095
0.436881,103609
0.438559,97993.4
0.440226,82211.8
0.441905,68269.4
0.443498,65261
0.443615,65272.3
0.445373,66959.2
0.447198,68274.3
0.449108,69343.3
0.451112,70317.1
0.453223,71212.1
0.454648,71758.6
0.45544,72059.3
0.457753,72973.8
0.460166,74043.2
0.462668,75332.2
0.465248,76929.5
0.466642,77992.2
0.467873,78901.6
0.470524,81303.9
0.473177,84191.1
0.475786,87515.9
0.478299,91060.1
0.480657,94420.7
0.482812,97182.3
0.48472,99394.1
0.484763,99447.7
0.48657,102095
0.488289,103609
0.489967,97993.4
0.491634,82211.8
0.493313,68269.4
0.494906,65261
0.495023,65272.3
0.496781,66959.2
0.498606,68274.3
0.500515,69343.3
0.50252,70317.1
0.504631,71212.1
0.506056,71758.6
0.506847,72059.3
0.509161,72973.8
0.511574,74043.2
0.514075,75332.2
0.516655,76929.5
0.518049,77992.2
0.519281,78901.6
0.521932,81303.9
0.524584,84191.1
